Epoch: 1
ISTJ: 0.3184713375796178 (50/157)
ISFJ: 0.4452054794520548 (65/146)
INFJ: 0.5745950554134698 (674/1173)
INTJ: 0.6406429391504018 (558/871)
ISTP: 0.4312977099236641 (113/262)
ISFP: 0.41379310344827586 (84/203)
INFP: 0.648870636550308 (948/1461)
INTP: 0.525375939849624 (559/1064)
ESTP: 0.0 (0/54)
ESFP: 0.0 (0/34)
ENFP: 0.5515370705244123 (305/553)
ENTP: 0.4929078014184397 (278/564)
ESTJ: 0.0 (0/30)
ESFJ: 0.0 (0/33)
ENFJ: 0.302158273381295 (42/139)
ENTJ: 0.3469387755102041 (68/196)
Balanced Accuracy: 0.3557371326376105

Epoch: 2
ISTJ: 0.445859872611465 (70/157)
ISFJ: 0.4589041095890411 (67/146)
INFJ: 0.5225916453537937 (613/1173)
INTJ: 0.582089552238806 (507/871)
ISTP: 0.49236641221374045 (129/262)
ISFP: 0.4876847290640394 (99/203)
INFP: 0.6687200547570158 (977/1461)
INTP: 0.7020676691729323 (747/1064)
ESTP: 0.3888888888888889 (21/54)
ESFP: 0.029411764705882353 (1/34)
ENFP: 0.5587703435804702 (309/553)
ENTP: 0.5851063829787234 (330/564)
ESTJ: 0.03333333333333333 (1/30)
ESFJ: 0.45454545454545453 (15/33)
ENFJ: 0.49640287769784175 (69/139)
ENTJ: 0.3520408163265306 (69/196)
Balanced Accuracy: 0.4536739941911224

Epoch: 3
ISTJ: 0.4140127388535032 (65/157)
ISFJ: 0.4452054794520548 (65/146)
INFJ: 0.5072463768115942 (595/1173)
INTJ: 0.5419058553386912 (472/871)
ISTP: 0.49236641221374045 (129/262)
ISFP: 0.4187192118226601 (85/203)
INFP: 0.7789185489390829 (1138/1461)
INTP: 0.7368421052631579 (784/1064)
ESTP: 0.42592592592592593 (23/54)
ESFP: 0.058823529411764705 (2/34)
ENFP: 0.4810126582278481 (266/553)
ENTP: 0.5354609929078015 (302/564)
ESTJ: 0.3333333333333333 (10/30)
ESFJ: 0.5151515151515151 (17/33)
ENFJ: 0.4244604316546763 (59/139)
ENTJ: 0.2857142857142857 (56/196)
Balanced Accuracy: 0.46219371256385217

Epoch: 4
ISTJ: 0.42038216560509556 (66/157)
ISFJ: 0.4726027397260274 (69/146)
INFJ: 0.5549872122762148 (651/1173)
INTJ: 0.5591274397244547 (487/871)
ISTP: 0.5343511450381679 (140/262)
ISFP: 0.45320197044334976 (92/203)
INFP: 0.7624914442162902 (1114/1461)
INTP: 0.6325187969924813 (673/1064)
ESTP: 0.4444444444444444 (24/54)
ESFP: 0.29411764705882354 (10/34)
ENFP: 0.5226039783001808 (289/553)
ENTP: 0.5833333333333334 (329/564)
ESTJ: 0.3333333333333333 (10/30)
ESFJ: 0.5151515151515151 (17/33)
ENFJ: 0.4748201438848921 (66/139)
ENTJ: 0.336734693877551 (66/196)
Balanced Accuracy: 0.49338762521288465

