Epoch: 1
ISTJ: P=0.5434782608695652, R=0.3184713375796178, F1=0.40160642570281124
ISFJ: P=0.4744525547445255, R=0.4452054794520548, F1=0.45936395759717313
INFJ: P=0.5579470198675497, R=0.5745950554134698, F1=0.5661486770264594
INTJ: P=0.4017278617710583, R=0.6406429391504018, F1=0.4938053097345133
ISTP: P=0.5255813953488372, R=0.4312977099236641, F1=0.47379454926624737
ISFP: P=0.5454545454545454, R=0.41379310344827586, F1=0.47058823529411764
INFP: P=0.5966016362492134, R=0.648870636550308, F1=0.6216393442622951
INTP: P=0.6190476190476191, R=0.525375939849624, F1=0.5683782409761058
ESTP: P=0.0, R=0.0, F1=0.0
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.5616942909760589, R=0.5515370705244123, F1=0.5565693430656934
ENTP: P=0.5661914460285132, R=0.4929078014184397, F1=0.5270142180094787
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.6086956521739131, R=0.302158273381295, F1=0.40384615384615385
ENTJ: P=0.4533333333333333, R=0.3469387755102041, F1=0.39306358381502887

Epoch: 2
ISTJ: P=0.45751633986928103, R=0.445859872611465, F1=0.4516129032258064
ISFJ: P=0.6633663366336634, R=0.4589041095890411, F1=0.5425101214574899
INFJ: P=0.7127906976744186, R=0.5225916453537937, F1=0.603049680275455
INTJ: P=0.5336842105263158, R=0.582089552238806, F1=0.5568369028006591
ISTP: P=0.5608695652173913, R=0.49236641221374045, F1=0.5243902439024389
ISFP: P=0.592814371257485, R=0.4876847290640394, F1=0.5351351351351351
INFP: P=0.6539491298527443, R=0.6687200547570158, F1=0.6612521150592217
INTP: P=0.4806949806949807, R=0.7020676691729323, F1=0.570664629488159
ESTP: P=0.5, R=0.3888888888888889, F1=0.43750000000000006
ESFP: P=1.0, R=0.029411764705882353, F1=0.05714285714285715
ENFP: P=0.6384297520661157, R=0.5587703435804702, F1=0.595949855351977
ENTP: P=0.5305466237942122, R=0.5851063829787234, F1=0.5564924114671164
ESTJ: P=0.5, R=0.03333333333333333, F1=0.0625
ESFJ: P=0.7142857142857143, R=0.45454545454545453, F1=0.5555555555555556
ENFJ: P=0.5390625, R=0.49640287769784175, F1=0.5168539325842697
ENTJ: P=0.5267175572519084, R=0.3520408163265306, F1=0.4220183486238532

Epoch: 3
ISTJ: P=0.6132075471698113, R=0.4140127388535032, F1=0.494296577946768
ISFJ: P=0.7386363636363636, R=0.4452054794520548, F1=0.5555555555555556
INFJ: P=0.7108721624850657, R=0.5072463768115942, F1=0.592039800995025
INTJ: P=0.5863354037267081, R=0.5419058553386912, F1=0.5632458233890214
ISTP: P=0.5633187772925764, R=0.49236641221374045, F1=0.525458248472505
ISFP: P=0.6296296296296297, R=0.4187192118226601, F1=0.5029585798816568
INFP: P=0.5492277992277992, R=0.7789185489390829, F1=0.6442117180866119
INTP: P=0.4996813256851498, R=0.7368421052631579, F1=0.5955184200531712
ESTP: P=0.46938775510204084, R=0.42592592592592593, F1=0.4466019417475729
ESFP: P=1.0, R=0.058823529411764705, F1=0.1111111111111111
ENFP: P=0.7307692307692307, R=0.4810126582278481, F1=0.5801526717557252
ENTP: P=0.6357894736842106, R=0.5354609929078015, F1=0.5813282001924929
ESTJ: P=0.5, R=0.3333333333333333, F1=0.4
ESFJ: P=0.7727272727272727, R=0.5151515151515151, F1=0.6181818181818182
ENFJ: P=0.686046511627907, R=0.4244604316546763, F1=0.5244444444444445
ENTJ: P=0.691358024691358, R=0.2857142857142857, F1=0.4043321299638989

Epoch: 4
ISTJ: P=0.55, R=0.42038216560509556, F1=0.4765342960288809
ISFJ: P=0.6509433962264151, R=0.4726027397260274, F1=0.5476190476190477
INFJ: P=0.670442842430484, R=0.5549872122762148, F1=0.6072761194029851
INTJ: P=0.5649651972157773, R=0.5591274397244547, F1=0.5620311598384305
ISTP: P=0.5785123966942148, R=0.5343511450381679, F1=0.5555555555555555
ISFP: P=0.6052631578947368, R=0.45320197044334976, F1=0.5183098591549296
INFP: P=0.5600804424333836, R=0.7624914442162902, F1=0.6457971014492754
INTP: P=0.5742320819112628, R=0.6325187969924813, F1=0.6019677996422184
ESTP: P=0.5106382978723404, R=0.4444444444444444, F1=0.4752475247524752
ESFP: P=0.7142857142857143, R=0.29411764705882354, F1=0.4166666666666667
ENFP: P=0.6930455635491607, R=0.5226039783001808, F1=0.5958762886597939
ENTP: P=0.5510887772194305, R=0.5833333333333334, F1=0.5667527993109389
ESTJ: P=0.4166666666666667, R=0.3333333333333333, F1=0.3703703703703704
ESFJ: P=0.7727272727272727, R=0.5151515151515151, F1=0.6181818181818182
ENFJ: P=0.66, R=0.4748201438848921, F1=0.5523012552301255
ENTJ: P=0.6285714285714286, R=0.336734693877551, F1=0.43853820598006643

