Epoch: 1
ISTJ: 0.0 (0/13)
ISFJ: 0.0 (0/18)
INFJ: 0.6575342465753424 (96/146)
INTJ: 0.06611570247933884 (8/121)
ISTP: 0.0 (0/32)
ISFP: 0.0 (0/20)
INFP: 0.7912087912087912 (144/182)
INTP: 0.5036496350364964 (69/137)
ESTP: 0.0 (0/11)
ESFP: 0.0 (0/6)
ENFP: 0.0273972602739726 (2/73)
ENTP: 0.0 (0/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.0 (0/18)
ENTJ: 0.0 (0/15)
Balanced Accuracy: 0.12786910222337136

Epoch: 2
ISTJ: 0.07692307692307693 (1/13)
ISFJ: 0.0 (0/18)
INFJ: 0.678082191780822 (99/146)
INTJ: 0.5537190082644629 (67/121)
ISTP: 0.5 (16/32)
ISFP: 0.05 (1/20)
INFP: 0.510989010989011 (93/182)
INTP: 0.6423357664233577 (88/137)
ESTP: 0.0 (0/11)
ESFP: 0.0 (0/6)
ENFP: 0.589041095890411 (43/73)
ENTP: 0.5606060606060606 (37/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.2777777777777778 (5/18)
ENTJ: 0.0 (0/15)
Balanced Accuracy: 0.27746712429093623

Epoch: 3
ISTJ: 0.3076923076923077 (4/13)
ISFJ: 0.3333333333333333 (6/18)
INFJ: 0.589041095890411 (86/146)
INTJ: 0.6859504132231405 (83/121)
ISTP: 0.46875 (15/32)
ISFP: 0.45 (9/20)
INFP: 0.6923076923076923 (126/182)
INTP: 0.6058394160583942 (83/137)
ESTP: 0.2727272727272727 (3/11)
ESFP: 0.0 (0/6)
ENFP: 0.5342465753424658 (39/73)
ENTP: 0.4696969696969697 (31/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.4444444444444444 (8/18)
ENTJ: 0.4666666666666667 (7/15)
Balanced Accuracy: 0.3950435117114437

Epoch: 4
ISTJ: 0.23076923076923078 (3/13)
ISFJ: 0.5555555555555556 (10/18)
INFJ: 0.726027397260274 (106/146)
INTJ: 0.6942148760330579 (84/121)
ISTP: 0.53125 (17/32)
ISFP: 0.45 (9/20)
INFP: 0.6208791208791209 (113/182)
INTP: 0.5547445255474452 (76/137)
ESTP: 0.45454545454545453 (5/11)
ESFP: 0.0 (0/6)
ENFP: 0.410958904109589 (30/73)
ENTP: 0.48484848484848486 (32/66)
ESTJ: 0.0 (0/2)
ESFJ: 0.0 (0/8)
ENFJ: 0.5 (9/18)
ENTJ: 0.5333333333333333 (8/15)
Balanced Accuracy: 0.4216954301800966

