Epoch: 1
ISTJ: P=0.0, R=0.0, F1=0.0
ISFJ: P=0.0, R=0.0, F1=0.0
INFJ: P=0.39183673469387753, R=0.6575342465753424, F1=0.49104859335038353
INTJ: P=0.26666666666666666, R=0.06611570247933884, F1=0.10596026490066227
ISTP: P=0.0, R=0.0, F1=0.0
ISFP: P=0.0, R=0.0, F1=0.0
INFP: P=0.37402597402597404, R=0.7912087912087912, F1=0.5079365079365079
INTP: P=0.3382352941176471, R=0.5036496350364964, F1=0.404692082111437
ESTP: P=0.0, R=0.0, F1=0.0
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.5, R=0.0273972602739726, F1=0.051948051948051945
ENTP: P=0.0, R=0.0, F1=0.0
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.0, R=0.0, F1=0.0
ENTJ: P=0.0, R=0.0, F1=0.0

Epoch: 2
ISTJ: P=0.2, R=0.07692307692307693, F1=0.1111111111111111
ISFJ: P=0.0, R=0.0, F1=0.0
INFJ: P=0.4925373134328358, R=0.678082191780822, F1=0.5706051873198846
INTJ: P=0.6146788990825688, R=0.5537190082644629, F1=0.5826086956521739
ISTP: P=0.38095238095238093, R=0.5, F1=0.4324324324324324
ISFP: P=1.0, R=0.05, F1=0.09523809523809523
INFP: P=0.636986301369863, R=0.510989010989011, F1=0.5670731707317073
INTP: P=0.5986394557823129, R=0.6423357664233577, F1=0.619718309859155
ESTP: P=0.0, R=0.0, F1=0.0
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.38738738738738737, R=0.589041095890411, F1=0.4673913043478261
ENTP: P=0.4625, R=0.5606060606060606, F1=0.5068493150684932
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.19230769230769232, R=0.2777777777777778, F1=0.2272727272727273
ENTJ: P=0.0, R=0.0, F1=0.0

Epoch: 3
ISTJ: P=0.25, R=0.3076923076923077, F1=0.27586206896551724
ISFJ: P=0.6, R=0.3333333333333333, F1=0.42857142857142855
INFJ: P=0.6666666666666666, R=0.589041095890411, F1=0.6254545454545454
INTJ: P=0.46111111111111114, R=0.6859504132231405, F1=0.5514950166112957
ISTP: P=0.75, R=0.46875, F1=0.5769230769230769
ISFP: P=0.6428571428571429, R=0.45, F1=0.5294117647058824
INFP: P=0.5753424657534246, R=0.6923076923076923, F1=0.628428927680798
INTP: P=0.6535433070866141, R=0.6058394160583942, F1=0.6287878787878788
ESTP: P=0.5, R=0.2727272727272727, F1=0.3529411764705882
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.582089552238806, R=0.5342465753424658, F1=0.5571428571428572
ENTP: P=0.6739130434782609, R=0.4696969696969697, F1=0.5535714285714286
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.42105263157894735, R=0.4444444444444444, F1=0.43243243243243246
ENTJ: P=0.4666666666666667, R=0.4666666666666667, F1=0.4666666666666667

Epoch: 4
ISTJ: P=0.2727272727272727, R=0.23076923076923078, F1=0.24999999999999994
ISFJ: P=0.5, R=0.5555555555555556, F1=0.5263157894736842
INFJ: P=0.5549738219895288, R=0.726027397260274, F1=0.629080118694362
INTJ: P=0.5316455696202531, R=0.6942148760330579, F1=0.6021505376344085
ISTP: P=0.5666666666666667, R=0.53125, F1=0.5483870967741935
ISFP: P=0.6923076923076923, R=0.45, F1=0.5454545454545455
INFP: P=0.6348314606741573, R=0.6208791208791209, F1=0.6277777777777779
INTP: P=0.6666666666666666, R=0.5547445255474452, F1=0.6055776892430278
ESTP: P=0.4166666666666667, R=0.45454545454545453, F1=0.43478260869565216
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.6976744186046512, R=0.410958904109589, F1=0.5172413793103448
ENTP: P=0.5714285714285714, R=0.48484848484848486, F1=0.5245901639344263
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.5625, R=0.5, F1=0.5294117647058824
ENTJ: P=0.3076923076923077, R=0.5333333333333333, F1=0.3902439024390244

