Epoch: 1
ISTJ: 0.0 (0/16)
ISFJ: 0.0 (0/16)
INFJ: 0.551948051948052 (85/154)
INTJ: 0.4727272727272727 (52/110)
ISTP: 0.0 (0/41)
ISFP: 0.0 (0/24)
INFP: 0.7814207650273224 (143/183)
INTP: 0.3898305084745763 (46/118)
ESTP: 0.0 (0/4)
ESFP: 0.0 (0/3)
ENFP: 0.4714285714285714 (33/70)
ENTP: 0.35 (28/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.0 (0/15)
ENTJ: 0.0 (0/24)
Balanced Accuracy: 0.18858469810036219

Epoch: 2
ISTJ: 0.25 (4/16)
ISFJ: 0.1875 (3/16)
INFJ: 0.5974025974025974 (92/154)
INTJ: 0.6363636363636364 (70/110)
ISTP: 0.4634146341463415 (19/41)
ISFP: 0.0 (0/24)
INFP: 0.6994535519125683 (128/183)
INTP: 0.6440677966101694 (76/118)
ESTP: 0.0 (0/4)
ESFP: 0.0 (0/3)
ENFP: 0.5142857142857142 (36/70)
ENTP: 0.5375 (43/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.2 (3/15)
ENTJ: 0.041666666666666664 (1/24)
Balanced Accuracy: 0.29822841233673086

Epoch: 3
ISTJ: 0.375 (6/16)
ISFJ: 0.5 (8/16)
INFJ: 0.525974025974026 (81/154)
INTJ: 0.6454545454545455 (71/110)
ISTP: 0.5365853658536586 (22/41)
ISFP: 0.20833333333333334 (5/24)
INFP: 0.8142076502732241 (149/183)
INTP: 0.5932203389830508 (70/118)
ESTP: 0.25 (1/4)
ESFP: 0.0 (0/3)
ENFP: 0.6142857142857143 (43/70)
ENTP: 0.55 (44/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.4666666666666667 (7/15)
ENTJ: 0.375 (9/24)
Balanced Accuracy: 0.4034204775515137

Epoch: 4
ISTJ: 0.375 (6/16)
ISFJ: 0.625 (10/16)
INFJ: 0.5844155844155844 (90/154)
INTJ: 0.7363636363636363 (81/110)
ISTP: 0.5365853658536586 (22/41)
ISFP: 0.4583333333333333 (11/24)
INFP: 0.6229508196721312 (114/183)
INTP: 0.4915254237288136 (58/118)
ESTP: 0.25 (1/4)
ESFP: 0.0 (0/3)
ENFP: 0.7142857142857143 (50/70)
ENTP: 0.6125 (49/80)
ESTJ: 0.0 (0/6)
ESFJ: 0.0 (0/3)
ENFJ: 0.5333333333333333 (8/15)
ENTJ: 0.5 (12/24)
Balanced Accuracy: 0.4400183256866378

