Epoch: 1
ISTJ: P=0.42038216560509556, R=0.42038216560509556, F1=0.42038216560509556
ISFJ: P=0.3622448979591837, R=0.4863013698630137, F1=0.41520467836257313
INFJ: P=0.5290076335877862, R=0.5907928388746803, F1=0.5581957309706
INTJ: P=0.4592920353982301, R=0.5958668197474167, F1=0.5187406296851574
ISTP: P=0.5398230088495575, R=0.46564885496183206, F1=0.5
ISFP: P=0.56, R=0.41379310344827586, F1=0.47592067988668557
INFP: P=0.6052141527001862, R=0.6673511293634496, F1=0.634765625
INTP: P=0.6883852691218131, R=0.4567669172932331, F1=0.5491525423728814
ESTP: P=0.4594594594594595, R=0.3148148148148148, F1=0.37362637362637363
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.5310344827586206, R=0.5569620253164557, F1=0.5436893203883496
ENTP: P=0.5771812080536913, R=0.4574468085106383, F1=0.510385756676558
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.4430379746835443, R=0.5035971223021583, F1=0.4713804713804714
ENTJ: P=0.31896551724137934, R=0.37755102040816324, F1=0.34579439252336447

Epoch: 2
ISTJ: P=0.5882352941176471, R=0.445859872611465, F1=0.5072463768115942
ISFJ: P=0.6666666666666666, R=0.4520547945205479, F1=0.5387755102040817
INFJ: P=0.6861924686192469, R=0.5592497868712702, F1=0.6162517613903241
INTJ: P=0.5616438356164384, R=0.5648679678530425, F1=0.5632512879221522
ISTP: P=0.5782608695652174, R=0.5076335877862596, F1=0.5406504065040652
ISFP: P=0.5588235294117647, R=0.46798029556650245, F1=0.5093833780160858
INFP: P=0.6814545454545454, R=0.6413415468856948, F1=0.6607898448519041
INTP: P=0.4766871165644172, R=0.7302631578947368, F1=0.5768374164810691
ESTP: P=0.30985915492957744, R=0.4074074074074074, F1=0.352
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.6418219461697723, R=0.5605786618444847, F1=0.5984555984555985
ENTP: P=0.5542763157894737, R=0.5975177304964538, F1=0.5750853242320818
ESTJ: P=0.3225806451612903, R=0.3333333333333333, F1=0.32786885245901637
ESFJ: P=0.6538461538461539, R=0.5151515151515151, F1=0.576271186440678
ENFJ: P=0.6071428571428571, R=0.4892086330935252, F1=0.5418326693227092
ENTJ: P=0.4675324675324675, R=0.3673469387755102, F1=0.4114285714285715

Epoch: 3
ISTJ: P=0.6907216494845361, R=0.4267515923566879, F1=0.5275590551181103
ISFJ: P=0.75, R=0.4315068493150685, F1=0.5478260869565218
INFJ: P=0.710401891252955, R=0.5123614663256607, F1=0.595344229816741
INTJ: P=0.5572609208972845, R=0.5419058553386912, F1=0.549476135040745
ISTP: P=0.5205992509363296, R=0.5305343511450382, F1=0.5255198487712666
ISFP: P=0.5934959349593496, R=0.35960591133004927, F1=0.44785276073619634
INFP: P=0.5184696569920845, R=0.8069815195071869, F1=0.6313253012048193
INTP: P=0.4966261808367072, R=0.6917293233082706, F1=0.5781618224666143
ESTP: P=0.5, R=0.42592592592592593, F1=0.46
ESFP: P=0.8, R=0.11764705882352941, F1=0.20512820512820512
ENFP: P=0.7891156462585034, R=0.41952983725135623, F1=0.5478158205430932
ENTP: P=0.6878306878306878, R=0.46099290780141844, F1=0.5520169851380042
ESTJ: P=0.375, R=0.3, F1=0.33333333333333326
ESFJ: P=0.72, R=0.5454545454545454, F1=0.6206896551724138
ENFJ: P=0.7105263157894737, R=0.38848920863309355, F1=0.5023255813953489
ENTJ: P=0.6666666666666666, R=0.24489795918367346, F1=0.35820895522388063

Epoch: 4
ISTJ: P=0.5846153846153846, R=0.4840764331210191, F1=0.5296167247386759
ISFJ: P=0.5714285714285714, R=0.4657534246575342, F1=0.5132075471698114
INFJ: P=0.649325626204239, R=0.5745950554134698, F1=0.6096788783355949
INTJ: P=0.5634458672875436, R=0.5556831228473019, F1=0.5595375722543352
ISTP: P=0.5979899497487438, R=0.4541984732824427, F1=0.5162689804772235
ISFP: P=0.47668393782383417, R=0.45320197044334976, F1=0.4646464646464646
INFP: P=0.5868852459016394, R=0.7351129363449692, F1=0.6526891522333637
INTP: P=0.6209677419354839, R=0.5789473684210527, F1=0.5992217898832685
ESTP: P=0.4772727272727273, R=0.3888888888888889, F1=0.4285714285714286
ESFP: P=0.47058823529411764, R=0.23529411764705882, F1=0.3137254901960785
ENFP: P=0.6263048016701461, R=0.5424954792043399, F1=0.5813953488372093
ENTP: P=0.46895640686922063, R=0.6294326241134752, F1=0.5374716124148373
ESTJ: P=0.38461538461538464, R=0.3333333333333333, F1=0.3571428571428571
ESFJ: P=0.6923076923076923, R=0.5454545454545454, F1=0.6101694915254238
ENFJ: P=0.5462184873949579, R=0.4676258992805755, F1=0.503875968992248
ENTJ: P=0.5625, R=0.32142857142857145, F1=0.40909090909090917

