Epoch: 1
ISTJ: P=0.0, R=0.0, F1=0.0
ISFJ: P=0.0, R=0.0, F1=0.0
INFJ: P=0.41706161137440756, R=0.5714285714285714, F1=0.48219178082191777
INTJ: P=0.5384615384615384, R=0.509090909090909, F1=0.5233644859813084
ISTP: P=0.0, R=0.0, F1=0.0
ISFP: P=0.0, R=0.0, F1=0.0
INFP: P=0.46645367412140576, R=0.7978142076502732, F1=0.5887096774193549
INTP: P=0.4322033898305085, R=0.4322033898305085, F1=0.4322033898305085
ESTP: P=0.0, R=0.0, F1=0.0
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.5714285714285714, R=0.45714285714285713, F1=0.5079365079365079
ENTP: P=0.676923076923077, R=0.55, F1=0.6068965517241379
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.0, R=0.0, F1=0.0
ENTJ: P=0.0, R=0.0, F1=0.0

Epoch: 2
ISTJ: P=0.3888888888888889, R=0.4375, F1=0.411764705882353
ISFJ: P=0.7, R=0.4375, F1=0.5384615384615384
INFJ: P=0.6013513513513513, R=0.577922077922078, F1=0.5894039735099337
INTJ: P=0.6634615384615384, R=0.6272727272727273, F1=0.6448598130841121
ISTP: P=0.7, R=0.5121951219512195, F1=0.5915492957746479
ISFP: P=0.6470588235294118, R=0.4583333333333333, F1=0.5365853658536585
INFP: P=0.6376811594202898, R=0.7213114754098361, F1=0.6769230769230768
INTP: P=0.45604395604395603, R=0.7033898305084746, F1=0.5533333333333332
ESTP: P=1.0, R=0.25, F1=0.4
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.6507936507936508, R=0.5857142857142857, F1=0.6165413533834587
ENTP: P=0.71875, R=0.575, F1=0.6388888888888888
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.6666666666666666, R=0.4, F1=0.5
ENTJ: P=0.7142857142857143, R=0.4166666666666667, F1=0.5263157894736842

Epoch: 3
ISTJ: P=0.4, R=0.5, F1=0.4444444444444445
ISFJ: P=0.6666666666666666, R=0.5, F1=0.5714285714285715
INFJ: P=0.7346938775510204, R=0.4675324675324675, F1=0.5714285714285714
INTJ: P=0.7764705882352941, R=0.6, F1=0.676923076923077
ISTP: P=0.7333333333333333, R=0.5365853658536586, F1=0.6197183098591549
ISFP: P=0.5238095238095238, R=0.4583333333333333, F1=0.4888888888888889
INFP: P=0.49508196721311476, R=0.825136612021858, F1=0.6188524590163934
INTP: P=0.536, R=0.5677966101694916, F1=0.551440329218107
ESTP: P=0.3333333333333333, R=0.25, F1=0.28571428571428575
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.6164383561643836, R=0.6428571428571429, F1=0.6293706293706294
ENTP: P=0.7796610169491526, R=0.575, F1=0.6618705035971223
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.5, R=0.4666666666666667, F1=0.4827586206896552
ENTJ: P=0.6666666666666666, R=0.5833333333333334, F1=0.6222222222222222

Epoch: 4
ISTJ: P=0.5, R=0.4375, F1=0.4666666666666667
ISFJ: P=0.75, R=0.5625, F1=0.6428571428571429
INFJ: P=0.656, R=0.5324675324675324, F1=0.5878136200716846
INTJ: P=0.5189873417721519, R=0.7454545454545455, F1=0.6119402985074627
ISTP: P=0.5957446808510638, R=0.6829268292682927, F1=0.6363636363636364
ISFP: P=0.5, R=0.4583333333333333, F1=0.4782608695652174
INFP: P=0.6815642458100558, R=0.6666666666666666, F1=0.6740331491712707
INTP: P=0.6666666666666666, R=0.4067796610169492, F1=0.5052631578947367
ESTP: P=0.16666666666666666, R=0.25, F1=0.2
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.45217391304347826, R=0.7428571428571429, F1=0.5621621621621622
ENTP: P=0.5777777777777777, R=0.65, F1=0.6117647058823529
ESTJ: P=1.0, R=0.16666666666666666, F1=0.2857142857142857
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.6363636363636364, R=0.4666666666666667, F1=0.5384615384615385
ENTJ: P=0.7333333333333333, R=0.4583333333333333, F1=0.5641025641025641

