Epoch: 1
ISTJ: 0.0972644376899696 (96/987)
ISFJ: 0.08014796547472257 (65/811)
INFJ: 0.14840055632823365 (1067/7190)
INTJ: 0.16421334352896197 (859/5231)
ISTP: 0.10657734470158343 (175/1642)
ISFP: 0.08012326656394453 (104/1298)
INFP: 0.7844760093949222 (7014/8941)
INTP: 0.32895153626860946 (2077/6314)
ESTP: 0.08101851851851852 (35/432)
ESFP: 0.02262443438914027 (5/221)
ENFP: 0.14000614062020264 (456/3257)
ENTP: 0.13940298507462687 (467/3350)
ESTJ: 0.031413612565445025 (6/191)
ESFJ: 0.08415841584158416 (17/202)
ENFJ: 0.06896551724137931 (64/928)
ENTJ: 0.05782918149466192 (65/1124)
Balanced Accuracy: 0.15097332910603165

Epoch: 2
ISTJ: 0.10435663627152988 (103/987)
ISFJ: 0.08138101109741061 (66/811)
INFJ: 0.25132127955493744 (1807/7190)
INTJ: 0.2213725865035366 (1158/5231)
ISTP: 0.13398294762484775 (220/1642)
ISFP: 0.06779661016949153 (88/1298)
INFP: 0.6255452410244939 (5593/8941)
INTP: 0.3964206525182135 (2503/6314)
ESTP: 0.10185185185185185 (44/432)
ESFP: 0.03619909502262444 (8/221)
ENFP: 0.16763893153208473 (546/3257)
ENTP: 0.13850746268656716 (464/3350)
ESTJ: 0.1256544502617801 (24/191)
ESFJ: 0.12376237623762376 (25/202)
ENFJ: 0.07974137931034483 (74/928)
ENTJ: 0.0791814946619217 (89/1124)
Balanced Accuracy: 0.17091962539557873

Epoch: 3
ISTJ: 0.1408308004052685 (139/987)
ISFJ: 0.10480887792848335 (85/811)
INFJ: 0.26717663421418636 (1921/7190)
INTJ: 0.2322691645956796 (1215/5231)
ISTP: 0.11997563946406821 (197/1642)
ISFP: 0.09399075500770417 (122/1298)
INFP: 0.5834917794430153 (5217/8941)
INTP: 0.41526765917009817 (2622/6314)
ESTP: 0.11574074074074074 (50/432)
ESFP: 0.049773755656108594 (11/221)
ENFP: 0.15075222597482346 (491/3257)
ENTP: 0.12805970149253731 (429/3350)
ESTJ: 0.09424083769633508 (18/191)
ESFJ: 0.14356435643564355 (29/202)
ENFJ: 0.07543103448275862 (70/928)
ENTJ: 0.07384341637010676 (83/1124)
Balanced Accuracy: 0.17432608619234735

Epoch: 4
ISTJ: 0.1286727456940223 (127/987)
ISFJ: 0.10727496917385944 (87/811)
INFJ: 0.2863699582753825 (2059/7190)
INTJ: 0.2771936532211814 (1450/5231)
ISTP: 0.1120584652862363 (184/1642)
ISFP: 0.0970724191063174 (126/1298)
INFP: 0.485739850128621 (4343/8941)
INTP: 0.4182768451061134 (2641/6314)
ESTP: 0.08796296296296297 (38/432)
ESFP: 0.04072398190045249 (9/221)
ENFP: 0.17439361375498924 (568/3257)
ENTP: 0.15970149253731344 (535/3350)
ESTJ: 0.1099476439790576 (21/191)
ESFJ: 0.10396039603960396 (21/202)
ENFJ: 0.09159482758620689 (85/928)
ENTJ: 0.09875444839857651 (111/1124)
Balanced Accuracy: 0.17373114207193102

