Epoch: 1
ISTJ: P=0.49230769230769234, R=0.0972644376899696, F1=0.16243654822335027
ISFJ: P=0.48872180451127817, R=0.08014796547472257, F1=0.13771186440677968
INFJ: P=0.39562476826103077, R=0.14840055632823365, F1=0.2158389804794174
INTJ: P=0.35628369970966406, R=0.16421334352896197, F1=0.2248102590944779
ISTP: P=0.3465346534653465, R=0.10657734470158343, F1=0.16301816488122964
ISFP: P=0.35135135135135137, R=0.08012326656394453, F1=0.13048933500627352
INFP: P=0.2688901667625072, R=0.7844760093949222, F1=0.40050248386912574
INTP: P=0.3037437847323779, R=0.32895153626860946, F1=0.31584549878345497
ESTP: P=0.5833333333333334, R=0.08101851851851852, F1=0.14227642276422764
ESFP: P=0.19230769230769232, R=0.02262443438914027, F1=0.040485829959514164
ENFP: P=0.41192411924119243, R=0.14000614062020264, F1=0.20898258478460127
ENTP: P=0.31279303415941057, R=0.13940298507462687, F1=0.19285566797439604
ESTJ: P=0.75, R=0.031413612565445025, F1=0.06030150753768843
ESFJ: P=0.5666666666666667, R=0.08415841584158416, F1=0.14655172413793105
ENFJ: P=0.5470085470085471, R=0.06896551724137931, F1=0.12248803827751197
ENTJ: P=0.5508474576271186, R=0.05782918149466192, F1=0.10466988727858295
F1_macro: 0.17307904984116015

Epoch: 2
ISTJ: P=0.6130952380952381, R=0.10435663627152988, F1=0.17835497835497835
ISFJ: P=0.4520547945205479, R=0.08138101109741061, F1=0.13793103448275862
INFJ: P=0.3114980175831753, R=0.25132127955493744, F1=0.2781925948733739
INTJ: P=0.28971728796597446, R=0.2213725865035366, F1=0.25097529258777634
ISTP: P=0.24202420242024203, R=0.13398294762484775, F1=0.1724813798510388
ISFP: P=0.5028571428571429, R=0.06779661016949153, F1=0.11948404616429055
INFP: P=0.29667939741141525, R=0.6255452410244939, F1=0.4024754434569856
INTP: P=0.2903375478482775, R=0.3964206525182135, F1=0.33518580515567464
ESTP: P=0.4583333333333333, R=0.10185185185185185, F1=0.16666666666666666
ESFP: P=0.2962962962962963, R=0.03619909502262444, F1=0.06451612903225808
ENFP: P=0.37320574162679426, R=0.16763893153208473, F1=0.23135593220338985
ENTP: P=0.3319027181688126, R=0.13850746268656716, F1=0.1954507160909857
ESTJ: P=0.375, R=0.1256544502617801, F1=0.18823529411764703
ESFJ: P=0.423728813559322, R=0.12376237623762376, F1=0.19157088122605365
ENFJ: P=0.5174825174825175, R=0.07974137931034483, F1=0.13818860877684408
ENTJ: P=0.445, R=0.0791814946619217, F1=0.13444108761329307
F1_macro: 0.19909411816587588

Epoch: 3
ISTJ: P=0.3008658008658009, R=0.1408308004052685, F1=0.19185645272601798
ISFJ: P=0.3512396694214876, R=0.10480887792848335, F1=0.16144349477682812
INFJ: P=0.31317248125203784, R=0.26717663421418636, F1=0.2883518462924047
INTJ: P=0.2824267782426778, R=0.2322691645956796, F1=0.2549040176229938
ISTP: P=0.24112607099143207, R=0.11997563946406821, F1=0.1602277348515657
ISFP: P=0.24302788844621515, R=0.09399075500770417, F1=0.13555555555555557
INFP: P=0.30368473135805346, R=0.5834917794430153, F1=0.3994640122511486
INTP: P=0.27605811749842074, R=0.41526765917009817, F1=0.33164685049329623
ESTP: P=0.4, R=0.11574074074074074, F1=0.17953321364452426
ESFP: P=0.34375, R=0.049773755656108594, F1=0.08695652173913043
ENFP: P=0.37624521072796935, R=0.15075222597482346, F1=0.21525646646207805
ENTP: P=0.39357798165137614, R=0.12805970149253731, F1=0.19324324324324324
ESTJ: P=0.5, R=0.09424083769633508, F1=0.15859030837004406
ESFJ: P=0.5178571428571429, R=0.14356435643564355, F1=0.2248062015503876
ENFJ: P=0.44871794871794873, R=0.07543103448275862, F1=0.12915129151291513
ENTJ: P=0.453551912568306, R=0.07384341637010676, F1=0.12700841622035194
F1_macro: 0.20237472670703033

Epoch: 4
ISTJ: P=0.3547486033519553, R=0.1286727456940223, F1=0.18884758364312268
ISFJ: P=0.3411764705882353, R=0.10727496917385944, F1=0.16322701688555347
INFJ: P=0.3158459886485657, R=0.2863699582753825, F1=0.30038660733824496
INTJ: P=0.25292168149311006, R=0.2771936532211814, F1=0.26450200656694633
ISTP: P=0.23680823680823682, R=0.1120584652862363, F1=0.15212897891690783
ISFP: P=0.2703862660944206, R=0.0970724191063174, F1=0.14285714285714285
INFP: P=0.3194791819920553, R=0.485739850128621, F1=0.3854448635455958
INTP: P=0.26872201872201873, R=0.4182768451061134, F1=0.3272209143848346
ESTP: P=0.5277777777777778, R=0.08796296296296297, F1=0.1507936507936508
ESFP: P=0.25, R=0.04072398190045249, F1=0.07003891050583658
ENFP: P=0.31140350877192985, R=0.17439361375498924, F1=0.22357803581972052
ENTP: P=0.2729591836734694, R=0.15970149253731344, F1=0.2015065913370998
ESTJ: P=0.25925925925925924, R=0.1099476439790576, F1=0.15441176470588236
ESFJ: P=0.3888888888888889, R=0.10396039603960396, F1=0.1640625
ENFJ: P=0.3794642857142857, R=0.09159482758620689, F1=0.14756944444444445
ENTJ: P=0.32840236686390534, R=0.09875444839857651, F1=0.1518467852257182
F1_macro: 0.19927642481066885

